video,rep,max_depth,min_spine_angle,max_lateral_shift,max_forward_shift,foot_distance,grip_width,elbow_angle,hips_below_knees,knee_balance_right,knee_balance_left,bottom_position_held,knee_imbalance
Jeff,1,75.54035661539211,-1.2041256725788116,0.2923041582107544,-0.5410904362797737,0.406702837669706,0.1715378841427996,27.598325380746804,True,128.63193872711852,132.3230811640489,23,16.54868346488479
Coach1,1,50.96066770513327,-1.0722107589244843,0.9277969598770142,-0.8223778828978539,0.5447640729569027,0.16082103847042137,113.36755237211122,True,86.92352233666548,68.37701222613069,51,46.62820829768407
Coach1,2,50.495122719712406,-1.0936110019683838,-1.7696410417556763,-0.8071700036525726,0.4820278576048101,0.08926066769717819,117.65960167272237,True,85.0568526570014,74.87421948405614,49,46.918147586449095
Coach1,3,47.855546649174705,-1.0934384763240814,-1.0629624128341675,-0.8332288265228271,0.9534348641497377,0.06914040288311461,113.56378362465725,True,82.10155150201808,76.02289952023222,54,52.553069445765004
TianTao,1,44.61860172286585,-1.2449690699577332,-1.1265337467193604,-0.7990040443837643,0.6328928698388179,0.19013916601578765,179.74003715616215,True,81.08649249361014,77.48877447301788,15,31.4881717826417
TianTao,2,39.55780224968536,-1.2461270093917847,-1.4630794525146484,-0.7912582829594612,0.7821792462519683,0.09729338152781096,179.1916354771361,True,83.63152473530835,77.46974361068567,13,43.74115381816492
TianTao,3,145.7963035317522,-1.0825291574001312,1.2552469968795776,-0.7295812666416168,0.23505778955484813,0.05331199931823441,39.322993185668075,False,,,0,0.0
TianTao,4,49.140713026892406,-1.2513349652290344,-2.301594614982605,-0.8056907914578915,0.6579810590007429,0.1480059161337119,178.4004814648951,True,77.4314933668781,76.87881770635892,14,25.88785406535027
TianTao,5,56.30639209014128,-1.2655561864376068,-1.0898947715759277,-0.8232739865779877,0.6501870402599396,0.10152561540215921,177.51028962965864,True,80.45666723953502,78.2669281083393,13,31.978827123888436
TianTao,6,56.066182885556735,-1.2487717270851135,-1.2082546949386597,-0.8212827704846859,0.6993672411974823,0.15909963527394266,178.4853206750373,True,78.85180149351703,74.67556393769678,12,30.48994235348482
TianHeavy,1,34.02006951814178,-1.237248420715332,1.7232611775398254,-0.3724383246153593,0.5492326688364843,0.2709931762117912,175.6258170885882,True,135.23380758111603,76.37923576865258,25,63.75941401373798
luxia,1,21.803838984108605,-1.250406801700592,0.7066473364830017,-0.529790785163641,0.7114154471192193,0.12533144303144084,22.99845060161698,True,102.55916413288976,73.15547176797136,67,125.75863379812077
Coach3,1,31.3889739863072,-1.2274644076824188,-0.9418293833732605,-0.3874582936987281,0.5181051592989836,0.16964887531018671,47.22511936950224,True,55.95408313251399,29.47572966470178,41,-52.561718139960156
Coach3,2,31.49930605270719,-1.2006481885910034,-0.808069109916687,-0.3805606099194847,0.5692646919951536,0.16946656121495482,47.47783015739996,True,54.10928098828768,37.243962408992786,35,25.774103314091168
Coach3,3,147.69863088600158,-1.0770796835422516,0.035250186920166016,-0.350930530577898,0.4740866591300224,0.14838816569547464,34.78829684724004,False,,,0,0.0
Coach4,1,84.06311808918502,-1.1932387351989746,0.22068321704864502,-0.537606731057167,0.38706722434686675,0.16328224209285835,34.41263139406324,False,121.9512120400586,142.05071999394409,20,-21.239713796439617
Coach4,2,95.75893557230091,-1.1818327605724335,0.2290189266204834,-0.5392937660217285,0.3966262341987547,0.16239005938189158,35.247237017899245,False,121.06482512049521,131.50936813433546,12,-15.260164364108817
Coach4,3,82.59146038706393,-1.2012594938278198,0.23190975189208984,-0.5397010445594788,0.3854003203602322,0.16164137703138898,34.960376936031096,False,118.35704659076472,136.05669555598817,13,-22.875516877675068
